#J and \nabla J for xdot = |x|; xObs = 1
#x0 \nablaJ J
-1 -0.55671 0.343861
-0.99 -0.55396 0.340559
-0.98 -0.55121 0.337275
-0.97 -0.54846 0.334009
-0.96 -0.54571 0.330759
-0.95 -0.54296 0.327528
-0.94 -0.54021 0.324313
-0.93 -0.53746 0.321117
-0.92 -0.534709 0.317937
-0.91 -0.531959 0.314775
-0.9 -0.529209 0.311631
-0.89 -0.526459 0.308503
-0.88 -0.523709 0.305394
-0.87 -0.520959 0.302301
-0.86 -0.518209 0.299227
-0.85 -0.515459 0.296169
-0.84 -0.512708 0.293129
-0.83 -0.509958 0.290107
-0.82 -0.507208 0.287101
-0.81 -0.504458 0.284114
-0.8 -0.501708 0.281144
-0.79 -0.498958 0.278191
-0.78 -0.496208 0.275255
-0.77 -0.493458 0.272337
-0.76 -0.490707 0.269437
-0.75 -0.487957 0.266554
-0.74 -0.485207 0.263688
-0.73 -0.482457 0.26084
-0.72 -0.479707 0.258009
-0.71 -0.476957 0.255196
-0.7 -0.474207 0.2524
-0.69 -0.471457 0.249621
-0.68 -0.468706 0.24686
-0.67 -0.465956 0.244116
-0.66 -0.463206 0.24139
-0.65 -0.460456 0.238681
-0.64 -0.457706 0.23599
-0.63 -0.454956 0.233316
-0.62 -0.452206 0.23066
-0.61 -0.449456 0.22802
-0.6 -0.446705 0.225399
-0.59 -0.443955 0.222795
-0.58 -0.441205 0.220208
-0.57 -0.438455 0.217639
-0.56 -0.435705 0.215087
-0.55 -0.432955 0.212552
-0.54 -0.430205 0.210035
-0.53 -0.427455 0.207535
-0.52 -0.424704 0.205053
-0.51 -0.421954 0.202589
-0.5 -0.419204 0.200141
-0.49 -0.416454 0.197711
-0.48 -0.413704 0.195299
-0.47 -0.410954 0.192904
-0.46 -0.408204 0.190526
-0.45 -0.405454 0.188166
-0.44 -0.402703 0.185823
-0.43 -0.399953 0.183498
-0.42 -0.397203 0.18119
-0.41 -0.394453 0.1789
-0.4 -0.391703 0.176627
-0.39 -0.388953 0.174371
-0.38 -0.386203 0.172133
-0.37 -0.383453 0.169912
-0.36 -0.380703 0.167709
-0.35 -0.377952 0.165523
-0.34 -0.375202 0.163355
-0.33 -0.372452 0.161204
-0.32 -0.369702 0.15907
-0.31 -0.366952 0.156954
-0.3 -0.364202 0.154855
-0.29 -0.361452 0.152774
-0.28 -0.358702 0.15071
-0.27 -0.355951 0.148664
-0.26 -0.353201 0.146635
-0.25 -0.350451 0.144623
-0.24 -0.347701 0.142629
-0.23 -0.344951 0.140653
-0.22 -0.342201 0.138693
-0.21 -0.339451 0.136751
-0.2 -0.336701 0.134827
-0.19 -0.33395 0.13292
-0.18 -0.3312 0.131031
-0.17 -0.32845 0.129159
-0.16 -0.3257 0.127304
-0.15 -0.32295 0.125467
-0.14 -0.3202 0.123647
-0.13 -0.31745 0.121844
-0.12 -0.3147 0.12006
-0.11 -0.311949 0.118292
-0.1 -0.309199 0.116542
-0.09 -0.306449 0.114809
-0.08 -0.303699 0.113094
-0.07 -0.300949 0.111396
-0.06 -0.298199 0.109716
-0.05 -0.295449 0.108053
-0.04 -0.292699 0.106408
-0.03 -0.289948 0.10478
-0.02 -0.287198 0.103169
-0.01 -0.284448 0.101576
0 -0.281698 0.1
0.01 -0.432288 0.0974347
0.02 -0.426174 0.0949083
0.03 -0.42006 0.0924206
0.04 -0.413946 0.0899718
0.05 -0.407832 0.0875618
0.06 -0.401718 0.0851906
0.07 -0.395604 0.0828582
0.08 -0.38949 0.0805647
0.09 -0.383377 0.07831
0.1 -0.377263 0.076094
0.11 -0.371149 0.073917
0.12 -0.365035 0.0717787
0.13 -0.358921 0.0696793
0.14 -0.352807 0.0676186
0.15 -0.346693 0.0655968
0.16 -0.340579 0.0636138
0.17 -0.334465 0.0616697
0.18 -0.328351 0.0597643
0.19 -0.322237 0.0578978
0.2 -0.316123 0.0560701
0.21 -0.310009 0.0542812
0.22 -0.303895 0.0525311
0.23 -0.297781 0.0508199
0.24 -0.291667 0.0491475
0.25 -0.285553 0.0475139
0.26 -0.279439 0.0459191
0.27 -0.273326 0.0443631
0.28 -0.267212 0.042846
0.29 -0.261098 0.0413676
0.3 -0.254984 0.0399281
0.31 -0.24887 0.0385274
0.32 -0.242756 0.0371656
0.33 -0.236642 0.0358425
0.34 -0.230528 0.0345583
0.35 -0.224414 0.0333129
0.36 -0.2183 0.0321063
0.37 -0.212186 0.0309385
0.38 -0.206072 0.0298096
0.39 -0.199958 0.0287195
0.4 -0.193844 0.0276682
0.41 -0.18773 0.0266557
