# x0 = -1.5 h_anim = 0.05
py0 py1 py2 py3 py4 py5 py6 py7 py8 py9 py10 py11 py12 py13 py14 py15 py16 py17 py18 py19 py20 py21 py22 py23 py24 py25 py26 py27 py28 py29 py30 py31 py32 py33 py34 py35 py36 py37 py38 py39 py40 py41 py42 py43 py44 py45 py46 py47 py48 py49 y x
-0.405648 -0.405835 -0.406448 -0.407579 -0.409339 -0.411862 -0.415318 -0.419913 -0.425905 -0.43362 -0.443465 -0.45596 -0.471769 -0.491751 -0.517022 -0.549046 -0.589763 -0.641767 -0.70855 -0.794854 -0.907149 -1.05426 -1.24815 -1.5046 -1.24 -0.75 -0.245619 -0.301248 -0.361935 -0.428053 -0.5 -0.578199 -0.663103 -0.755192 -0.854982 -0.963019 -1.07476 -0.549453 -0.122634 0.224075 0.507149 0.740059 0.933402 1.09538 1.2323 1.34905 1.44941 1.53634 1.61217 1.67876 -0.405648 -1.5 
-0.404747 -0.404873 -0.405418 -0.406474 -0.40815 -0.41058 -0.413931 -0.418408 -0.424268 -0.431831 -0.441504 -0.453801 -0.469381 -0.489097 -0.514056 -0.545712 -0.585993 -0.637471 -0.703619 -0.789146 -0.900482 -1.0464 -1.23879 -1.49334 -1.22 -0.733333 -0.238796 -0.294075 -0.354395 -0.420126 -0.491667 -0.569439 -0.653893 -0.74551 -0.844804 -0.952319 -1.0611 -0.538192 -0.113271 0.231937 0.513815 0.745767 0.938333 1.09967 1.23607 1.35238 1.45237 1.53899 1.61456 1.68092 -0.404742 -1.49167 
-0.403846 -0.40391 -0.404388 -0.405369 -0.406961 -0.409298 -0.412545 -0.416904 -0.422631 -0.430043 -0.439543 -0.451642 -0.466994 -0.486443 -0.511091 -0.542379 -0.582222 -0.633176 -0.698688 -0.783438 -0.893815 -1.03854 -1.22943 -1.48208 -1.2 -0.716667 -0.231974 -0.286903 -0.346854 -0.412199 -0.483333 -0.560678 -0.644683 -0.735828 -0.834625 -0.941619 -1.04744 -0.526931 -0.103908 0.239798 0.520482 0.751475 0.943264 1.10397 1.23984 1.35571 1.45534 1.54165 1.61695 1.68308 -0.403826 -1.48333 
-0.402945 -0.402948 -0.403358 -0.404264 -0.405772 -0.408016 -0.411158 -0.4154 -0.420994 -0.428255 -0.437582 -0.449483 -0.464606 -0.483789 -0.508125 -0.539046 -0.578451 -0.62888 -0.693757 -0.77773 -0.887149 -1.03068 -1.22006 -1.47082 -1.18 -0.7 -0.225151 -0.27973 -0.339314 -0.404273 -0.475 -0.551917 -0.635473 -0.726146 -0.824447 -0.930918 -1.03378 -0.515669 -0.0945446 0.24766 0.527149 0.757183 0.948195 1.10826 1.24361 1.35905 1.4583 1.5443 1.61933 1.68523 -0.4029 -1.475 
-0.402044 -0.401986 -0.402328 -0.403159 -0.404584 -0.406734 -0.409771 -0.413896 -0.419356 -0.426467 -0.435622 -0.447324 -0.462218 -0.481136 -0.505159 -0.535712 -0.57468 -0.624585 -0.688826 -0.772023 -0.880482 -1.02282 -1.2107 -1.45956 -1.16 -0.683333 -0.218328 -0.272558 -0.331774 -0.396346 -0.466667 -0.543157 -0.626264 -0.716464 -0.814269 -0.920218 -1.02012 -0.504408 -0.0851813 0.255522 0.533815 0.76289 0.953126 1.11256 1.24738 1.36238 1.46127 1.54695 1.62172 1.68739 -0.401964 -1.46667 
-0.401143 -0.401023 -0.401298 -0.402053 -0.403395 -0.405452 -0.408385 -0.412391 -0.417719 -0.424678 -0.433661 -0.445165 -0.45983 -0.478482 -0.502194 -0.532379 -0.57091 -0.620289 -0.683895 -0.766315 -0.873815 -1.01496 -1.20134 -1.44829 -1.14 -0.666667 -0.211505 -0.265385 -0.324233 -0.388419 -0.458333 -0.534396 -0.617054 -0.706782 -0.80409 -0.909518 -1.00646 -0.493147 -0.075818 0.263383 0.540482 0.768598 0.958056 1.11685 1.25115 1.36571 1.46423 1.54961 1.62411 1.68955 -0.401018 -1.45833 
-0.400242 -0.400061 -0.400268 -0.400948 -0.402206 -0.40417 -0.406998 -0.410887 -0.416082 -0.42289 -0.4317 -0.443006 -0.457443 -0.475828 -0.499228 -0.529046 -0.567139 -0.615994 -0.678964 -0.760607 -0.867149 -1.00709 -1.19197 -1.43703 -1.12 -0.65 -0.204683 -0.258212 -0.316693 -0.380492 -0.45 -0.525636 -0.607844 -0.697101 -0.793912 -0.898818 -0.992794 -0.481886 -0.0664547 0.271245 0.547149 0.774306 0.962987 1.12115 1.25492 1.36905 1.4672 1.55226 1.6265 1.69171 -0.400061 -1.45 
-0.399341 -0.399099 -0.399238 -0.399843 -0.401017 -0.402888 -0.405612 -0.409383 -0.414445 -0.421102 -0.429739 -0.440847 -0.455055 -0.473174 -0.496263 -0.525712 -0.563368 -0.611698 -0.674033 -0.754899 -0.860482 -0.999232 -1.18261 -1.42577 -1.1 -0.633333 -0.19786 -0.25104 -0.309153 -0.372565 -0.441667 -0.516875 -0.598634 -0.687419 -0.783733 -0.888118 -0.979133 -0.470624 -0.0570914 0.279107 0.553815 0.780014 0.967918 1.12544 1.25869 1.37238 1.47017 1.55491 1.62888 1.69387 -0.399093 -1.44167 
-0.39844 -0.398137 -0.398208 -0.398738 -0.399828 -0.401606 -0.404225 -0.407879 -0.412808 -0.419314 -0.427778 -0.438689 -0.452667 -0.47052 -0.493297 -0.522379 -0.559597 -0.607403 -0.669102 -0.749192 -0.853815 -0.991371 -1.17325 -1.41451 -1.08 -0.616667 -0.191037 -0.243867 -0.301612 -0.364638 -0.433333 -0.508114 -0.589424 -0.677737 -0.773555 -0.877417 -0.965472 -0.459363 -0.0477281 0.286968 0.560482 0.785721 0.972849 1.12974 1.26246 1.37571 1.47313 1.55757 1.63127 1.69603 -0.398115 -1.43333 
-0.39754 -0.397174 -0.397178 -0.397632 -0.39864 -0.400324 -0.402839 -0.406375 -0.41117 -0.417525 -0.425818 -0.43653 -0.450279 -0.467866 -0.490331 -0.519046 -0.555827 -0.603107 -0.664171 -0.743484 -0.847149 -0.983509 -1.16388 -1.40325 -1.06 -0.6 -0.184214 -0.236695 -0.294072 -0.356711 -0.425 -0.499354 -0.580215 -0.668055 -0.763377 -0.866717 -0.951811 -0.448102 -0.0383648 0.29483 0.567149 0.791429 0.97778 1.13403 1.26623 1.37905 1.4761 1.56022 1.63366 1.69819 -0.397125 -1.425 
-0.396639 -0.396212 -0.396148 -0.396527 -0.397451 -0.399042 -0.401452 -0.40487 -0.409533 -0.415737 -0.423857 -0.434371 -0.447892 -0.465212 -0.487366 -0.515712 -0.552056 -0.598811 -0.65924 -0.737776 -0.840482 -0.975648 -1.15452 -1.39199 -1.04 -0.583333 -0.177392 -0.229522 -0.286532 -0.348784 -0.416667 -0.490593 -0.571005 -0.658373 -0.753198 -0.856017 -0.93815 -0.436841 -0.0290015 0.302692 0.573815 0.797137 0.982711 1.13833 1.27 1.38238 1.47906 1.56288 1.63605 1.70035 -0.396124 -1.41667 
-0.395738 -0.39525 -0.395118 -0.395422 -0.396262 -0.39776 -0.400065 -0.403366 -0.407896 -0.413949 -0.421896 -0.432212 -0.445504 -0.462558 -0.4844 -0.512379 -0.548285 -0.594516 -0.654309 -0.732068 -0.833815 -0.967786 -1.14516 -1.38073 -1.02 -0.566667 -0.170569 -0.22235 -0.278992 -0.340857 -0.408333 -0.481833 -0.561795 -0.648691 -0.74302 -0.845317 -0.924488 -0.425579 -0.0196382 0.310553 0.580482 0.802845 0.987642 1.14263 1.27378 1.38571 1.48203 1.56553 1.63844 1.70251 -0.395112 -1.40833 
-0.394837 -0.394287 -0.394087 -0.394317 -0.395073 -0.396478 -0.398679 -0.401862 -0.406259 -0.41216 -0.419935 -0.430053 -0.443116 -0.459904 -0.481435 -0.509046 -0.544514 -0.59022 -0.649378 -0.726361 -0.827149 -0.959924 -1.13579 -1.36947 -1 -0.55 -0.163746 -0.215177 -0.271451 -0.33293 -0.4 -0.473072 -0.552585 -0.639009 -0.732842 -0.834617 -0.910827 -0.414318 -0.0102749 0.318415 0.587149 0.808552 0.992573 1.14692 1.27755 1.38905 1.48499 1.56818 1.64082 1.70466 -0.394087 -1.4 
-0.393936 -0.393325 -0.393057 -0.393212 -0.393885 -0.395196 -0.397292 -0.400358 -0.404622 -0.410372 -0.417975 -0.427894 -0.440728 -0.45725 -0.478469 -0.505712 -0.540744 -0.585925 -0.644447 -0.720653 -0.820482 -0.952063 -1.12643 -1.3582 -0.98 -0.533333 -0.156923 -0.208004 -0.263911 -0.325003 -0.391667 -0.464311 -0.543376 -0.629327 -0.722663 -0.823916 -0.897166 -0.403057 -0.000911603 0.326276 0.593815 0.81426 0.997504 1.15122 1.28132 1.39238 1.48796 1.57084 1.64321 1.70682 -0.393051 -1.39167 
-0.393035 -0.392363 -0.392027 -0.392106 -0.392696 -0.393914 -0.395906 -0.398854 -0.402984 -0.408584 -0.416014 -0.425735 -0.43834 -0.454596 -0.475503 -0.502379 -0.536973 -0.581629 -0.639516 -0.714945 -0.813815 -0.944201 -1.11707 -1.34694 -0.96 -0.516667 -0.150101 -0.200832 -0.256371 -0.317076 -0.383333 -0.455551 -0.534166 -0.619645 -0.712485 -0.813216 -0.883505 -0.391796 0.00845169 0.334138 0.600482 0.819968 1.00244 1.15551 1.28509 1.39571 1.49092 1.57349 1.6456 1.70898 -0.392003 -1.38333 
-0.392134 -0.391401 -0.390997 -0.391001 -0.391507 -0.392632 -0.394519 -0.397349 -0.401347 -0.406796 -0.414053 -0.423576 -0.435953 -0.451942 -0.472538 -0.499046 -0.533202 -0.577334 -0.634585 -0.709237 -0.807149 -0.936339 -1.1077 -1.33568 -0.94 -0.5 -0.143278 -0.193659 -0.24883 -0.30915 -0.375 -0.44679 -0.524956 -0.609963 -0.702307 -0.802516 -0.869844 -0.380534 0.017815 0.342 0.607149 0.825676 1.00737 1.15981 1.28886 1.39905 1.49389 1.57615 1.64799 1.71114 -0.390943 -1.375 
-0.391233 -0.390438 -0.389967 -0.389896 -0.390318 -0.391349 -0.393132 -0.395845 -0.39971 -0.405007 -0.412092 -0.421417 -0.433565 -0.449288 -0.469572 -0.495712 -0.529432 -0.573038 -0.629654 -0.70353 -0.800482 -0.928478 -1.09834 -1.32442 -0.92 -0.483333 -0.136455 -0.186487 -0.24129 -0.301223 -0.366667 -0.43803 -0.515746 -0.600281 -0.692128 -0.791816 -0.856182 -0.369273 0.0271783 0.349861 0.613815 0.831383 1.0123 1.1641 1.29263 1.40238 1.49686 1.5788 1.65037 1.7133 -0.38987 -1.36667 
-0.390332 -0.389476 -0.388937 -0.388791 -0.389129 -0.390067 -0.391746 -0.394341 -0.398073 -0.403219 -0.410131 -0.419258 -0.431177 -0.446634 -0.466607 -0.492379 -0.525661 -0.568743 -0.624723 -0.697822 -0.793815 -0.920616 -1.08898 -1.31316 -0.9 -0.466667 -0.129632 -0.179314 -0.23375 -0.293296 -0.358333 -0.429269 -0.506537 -0.590599 -0.68195 -0.781115 -0.842521 -0.358012 0.0365416 0.357723 0.620482 0.837091 1.01723 1.1684 1.2964 1.40571 1.49982 1.58145 1.65276 1.71546 -0.388784 -1.35833 
-0.389431 -0.388514 -0.387907 -0.387686 -0.387941 -0.388785 -0.390359 -0.392837 -0.396436 -0.401431 -0.408171 -0.4171 -0.428789 -0.443981 -0.463641 -0.489046 -0.52189 -0.564447 -0.619792 -0.692114 -0.787149 -0.912754 -1.07961 -1.29 -0.88 -0.45 -0.12281 -0.172142 -0.226209 -0.285369 -0.35 -0.420508 -0.497327 -0.580917 -0.671772 -0.770415 -0.82886 -0.34675 0.0459049 0.365585 0.627149 0.842799 1.02216 1.17269 1.30017 1.40905 1.50279 1.58411 1.65515 1.71762 -0.387686 -1.35 
-0.388531 -0.387551 -0.386877 -0.38658 -0.386752 -0.387503 -0.388973 -0.391333 -0.394798 -0.399643 -0.40621 -0.414941 -0.426402 -0.441327 -0.460675 -0.485712 -0.518119 -0.560152 -0.614861 -0.686406 -0.780482 -0.904893 -1.07025 -1.26667 -0.86 -0.433333 -0.115987 -0.164969 -0.218669 -0.277442 -0.341667 -0.411748 -0.488117 -0.571235 -0.661593 -0.759715 -0.815199 -0.335489 0.0552682 0.373446 0.633815 0.848507 1.02709 1.17699 1.30394 1.41238 1.50575 1.58676 1.65754 1.71978 -0.386574 -1.34167 
-0.38763 -0.386589 -0.385847 -0.385475 -0.385563 -0.386221 -0.387586 -0.389828 -0.393161 -0.397854 -0.404249 -0.412782 -0.424014 -0.438673 -0.45771 -0.482379 -0.514349 -0.555856 -0.60993 -0.680699 -0.773815 -0.897031 -1.06089 -1.24333 -0.84 -0.416667 -0.109164 -0.157796 -0.211129 -0.269515 -0.333333 -0.402987 -0.478907 -0.561553 -0.651415 -0.749015 -0.801538 -0.324228 0.0646315 0.381308 0.640482 0.854214 1.03202 1.18129 1.30771 1.41571 1.50872 1.58942 1.65993 1.72194 -0.385448 -1.33333 
-0.386729 -0.385627 -0.384817 -0.38437 -0.384374 -0.384939 -0.3862 -0.388324 -0.391524 -0.396066 -0.402288 -0.410623 -0.421626 -0.436019 -0.454744 -0.479046 -0.510578 -0.551561 -0.604999 -0.674991 -0.767149 -0.88917 -1.05152 -1.22 -0.82 -0.4 -0.102341 -0.150624 -0.203588 -0.261588 -0.325 -0.394227 -0.469698 -0.551871 -0.641236 -0.738315 -0.787876 -0.312967 0.0739948 0.38917 0.647149 0.859922 1.03695 1.18558 1.31148 1.41905 1.51168 1.59207 1.66231 1.72409 -0.384309 -1.325 
-0.385828 -0.384665 -0.383787 -0.383265 -0.383186 -0.383657 -0.384813 -0.38682 -0.389887 -0.394278 -0.400327 -0.408464 -0.419238 -0.433365 -0.451779 -0.475712 -0.506807 -0.547265 -0.600068 -0.669283 -0.760482 -0.881308 -1.04216 -1.19667 -0.8 -0.383333 -0.0955186 -0.143451 -0.196048 -0.253661 -0.316667 -0.385466 -0.460488 -0.542189 -0.631058 -0.727614 -0.774215 -0.301705 0.0833581 0.397031 0.653815 0.86563 1.04188 1.18988 1.31525 1.42238 1.51465 1.59472 1.6647 1.72625 -0.383157 -1.31667 
-0.384927 -0.383702 -0.382757 -0.382159 -0.381997 -0.382375 -0.383426 -0.385316 -0.38825 -0.392489 -0.398367 -0.406305 -0.41685 -0.430711 -0.448813 -0.472379 -0.503036 -0.54297 -0.595137 -0.663575 -0.753815 -0.873446 -1.0328 -1.17333 -0.78 -0.366667 -0.0886958 -0.136279 -0.188508 -0.245734 -0.308333 -0.376705 -0.451278 -0.532507 -0.62088 -0.716914 -0.760554 -0.290444 0.0927214 0.404893 0.660482 0.871338 1.04681 1.19417 1.31902 1.42571 1.51761 1.59738 1.66709 1.72841 -0.38199 -1.30833 
-0.384026 -0.38274 -0.381727 -0.381054 -0.380808 -0.381093 -0.38204 -0.383811 -0.386612 -0.390701 -0.396406 -0.404146 -0.414463 -0.428057 -0.445847 -0.469046 -0.499266 -0.538674 -0.590206 -0.657867 -0.747149 -0.865585 -1.02343 -1.15 -0.76 -0.35 -0.0818731 -0.129106 -0.180967 -0.237807 -0.3 -0.367945 -0.442068 -0.522825 -0.610701 -0.706214 -0.746893 -0.279183 0.102085 0.412754 0.667149 0.877046 1.05174 1.19847 1.3228 1.42905 1.52058 1.60003 1.66948 1.73057 -0.380808 -1.3 
-0.383125 -0.381778 -0.380696 -0.379949 -0.379619 -0.379811 -0.380653 -0.382307 -0.384975 -0.388913 -0.394445 -0.401987 -0.412075 -0.425403 -0.442882 -0.465712 -0.495495 -0.534379 -0.585275 -0.65216 -0.740482 -0.857723 -1.01407 -1.12667 -0.74 -0.333333 -0.0750503 -0.121934 -0.173427 -0.22988 -0.291667 -0.359184 -0.432859 -0.513143 -0.600523 -0.695514 -0.733232 -0.267922 0.111448 0.420616 0.673815 0.882753 1.05668 1.20276 1.32657 1.43238 1.52355 1.60269 1.67186 1.73273 -0.379612 -1.29167 
-0.382224 -0.380816 -0.379666 -0.378844 -0.37843 -0.378529 -0.379267 -0.380803 -0.383338 -0.387125 -0.392484 -0.399828 -0.409687 -0.422749 -0.439916 -0.462379 -0.491724 -0.530083 -0.580344 -0.646452 -0.733815 -0.849861 -1.00471 -1.10333 -0.72 -0.316667 -0.0682276 -0.114761 -0.165887 -0.221954 -0.283333 -0.350424 -0.423649 -0.503462 -0.590345 -0.684814 -0.71957 -0.25666 0.120811 0.428478 0.680482 0.888461 1.06161 1.20706 1.33034 1.43571 1.52651 1.60534 1.67425 1.73489 -0.378401 -1.28333 
-0.381323 -0.379853 -0.378636 -0.377739 -0.377242 -0.377247 -0.37788 -0.379299 -0.381701 -0.385336 -0.390524 -0.39767 -0.407299 -0.420095 -0.436951 -0.459046 -0.487953 -0.525787 -0.575413 -0.640744 -0.727149 -0.842 -0.995343 -1.08 -0.7 -0.3 -0.0614048 -0.107588 -0.158347 -0.214027 -0.275 -0.341663 -0.414439 -0.49378 -0.580166 -0.674113 -0.705909 -0.245399 0.130175 0.436339 0.687149 0.894169 1.06654 1.21135 1.33411 1.43905 1.52948 1.60799 1.67664 1.73705 -0.377174 -1.275 
-0.380422 -0.378891 -0.377606 -0.376633 -0.376053 -0.375965 -0.376494 -0.377795 -0.380064 -0.383548 -0.388563 -0.395511 -0.404912 -0.417441 -0.433985 -0.455712 -0.484183 -0.521492 -0.570483 -0.635036 -0.720482 -0.834138 -0.98598 -1.05667 -0.68 -0.283333 -0.0545821 -0.100416 -0.150806 -0.2061 -0.266667 -0.332903 -0.405229 -0.484098 -0.569988 -0.663413 -0.692248 -0.234138 0.139538 0.444201 0.693815 0.899877 1.07147 1.21565 1.33788 1.44238 1.53244 1.61065 1.67903 1.73921 -0.375932 -1.26667 
-0.379522 -0.377929 -0.376576 -0.375528 -0.374864 -0.374683 -0.375107 -0.37629 -0.378426 -0.38176 -0.386602 -0.393352 -0.402524 -0.414787 -0.431019 -0.452379 -0.480412 -0.517196 -0.565552 -0.629329 -0.713815 -0.826276 -0.976616 -1.03333 -0.66 -0.266667 -0.0477593 -0.0932434 -0.143266 -0.198173 -0.258333 -0.324142 -0.39602 -0.474416 -0.55981 -0.652713 -0.678587 -0.222877 0.148901 0.452063 0.700482 0.905584 1.0764 1.21995 1.34165 1.44571 1.53541 1.6133 1.68142 1.74137 -0.374675 -1.25833 
-0.378621 -0.376966 -0.375546 -0.374423 -0.373675 -0.373401 -0.37372 -0.374786 -0.376789 -0.379972 -0.384641 -0.391193 -0.400136 -0.412133 -0.428054 -0.449046 -0.476641 -0.512901 -0.560621 -0.623621 -0.707149 -0.818415 -0.967253 -1.01 -0.64 -0.25 -0.0409365 -0.0860708 -0.135726 -0.190246 -0.25 -0.315381 -0.38681 -0.464734 -0.549631 -0.642013 -0.664926 -0.211615 0.158264 0.459924 0.707149 0.911292 1.08133 1.22424 1.34542 1.44905 1.53837 1.61596 1.6838 1.74352 -0.373401 -1.25 
-0.37772 -0.376004 -0.374516 -0.373318 -0.372487 -0.372119 -0.372334 -0.373282 -0.375152 -0.378183 -0.38268 -0.389034 -0.397748 -0.409479 -0.425088 -0.445712 -0.47287 -0.508605 -0.55569 -0.617913 -0.700482 -0.810553 -0.95789 -0.986667 -0.62 -0.233333 -0.0341138 -0.0788982 -0.128185 -0.182319 -0.241667 -0.306621 -0.3776 -0.455052 -0.539453 -0.631312 -0.651264 -0.200354 0.167628 0.467786 0.713815 0.917 1.08626 1.22854 1.34919 1.45238 1.54134 1.61861 1.68619 1.74568 -0.37211 -1.24167 
-0.376819 -0.375042 -0.373486 -0.372212 -0.371298 -0.370837 -0.370947 -0.371778 -0.373515 -0.376395 -0.38072 -0.386875 -0.39536 -0.406826 -0.422123 -0.442379 -0.4691 -0.50431 -0.550759 -0.612205 -0.693815 -0.802692 -0.948527 -0.963333 -0.6 -0.216667 -0.027291 -0.0717257 -0.120645 -0.174392 -0.233333 -0.29786 -0.36839 -0.44537 -0.529275 -0.620612 -0.637603 -0.189093 0.176991 0.475648 0.720482 0.922708 1.09119 1.23283 1.35296 1.45571 1.54431 1.62126 1.68858 1.74784 -0.370803 -1.23333 
-0.375918 -0.37408 -0.372456 -0.371107 -0.370109 -0.369555 -0.369561 -0.370274 -0.371878 -0.374607 -0.378759 -0.384716 -0.392973 -0.404172 -0.419157 -0.439046 -0.465329 -0.500014 -0.545828 -0.606498 -0.687149 -0.79483 -0.939163 -0.94 -0.58 -0.2 -0.0204683 -0.0645531 -0.113105 -0.166465 -0.225 -0.2891 -0.359181 -0.435688 -0.519096 -0.609912 -0.623942 -0.177832 0.186354 0.483509 0.727149 0.928415 1.09612 1.23713 1.35673 1.45905 1.54727 1.62392 1.69097 1.75 -0.369479 -1.225 
-0.375017 -0.373117 -0.371426 -0.370002 -0.36892 -0.368273 -0.368174 -0.368769 -0.37024 -0.372819 -0.376798 -0.382557 -0.390585 -0.401518 -0.416191 -0.435712 -0.461558 -0.495719 -0.540897 -0.60079 -0.680482 -0.786968 -0.9298 -0.916667 -0.56 -0.183333 -0.0136455 -0.0573805 -0.105564 -0.158538 -0.216667 -0.280339 -0.349971 -0.426006 -0.508918 -0.599212 -0.610281 -0.16657 0.195718 0.491371 0.733815 0.934123 1.10105 1.24142 1.3605 1.46238 1.55024 1.62657 1.69335 1.75216 -0.368138 -1.21667 
-0.374116 -0.372155 -0.370396 -0.368897 -0.367731 -0.366991 -0.366788 -0.367265 -0.368603 -0.37103 -0.374837 -0.380398 -0.388197 -0.398864 -0.413226 -0.432379 -0.457787 -0.491423 -0.535966 -0.595082 -0.673815 -0.779107 -0.920437 -0.893333 -0.54 -0.166667 -0.00682276 -0.050208 -0.0980241 -0.150611 -0.208333 -0.271578 -0.340761 -0.416324 -0.498739 -0.588512 -0.59662 -0.155309 0.205081 0.499232 0.740482 0.939831 1.10599 1.24572 1.36427 1.46571 1.5532 1.62922 1.69574 1.75432 -0.366778 -1.20833 
-0.373215 -0.371193 -0.369366 -0.367792 -0.366543 -0.365708 -0.365401 -0.365761 -0.366966 -0.369242 -0.372876 -0.378239 -0.385809 -0.39621 -0.41026 -0.429046 -0.454017 -0.487128 -0.531035 -0.589374 -0.667149 -0.771245 -0.911073 -0.87 -0.52 -0.15 -1.33227e-15 -0.0430354 -0.0904837 -0.142684 -0.2 -0.262818 -0.331551 -0.406642 -0.488561 -0.577811 -0.582958 -0.144048 0.214444 0.507094 0.747149 0.945539 1.11092 1.25001 1.36804 1.46905 1.55617 1.63188 1.69813 1.75648 -0.365401 -1.2 
