#arnold
# plot from 2^9 to 2^19 against 2^20
n err_plan err_exp err_impl t_plan t_exp t_impl
512 0.000221712 0.00260676 0.00223157 0.02 0 0.01
1024 4.53697e-05 0.00116628 0.00103924 0.03 0.01 0.02
2048 1.13831e-05 0.000241545 0.00024302 0.06 0.01 0.05
4096 1.98725e-06 1.30581e-05 1.29698e-05 0.12 0.02 0.1
8192 7.50171e-07 1.03543e-05 8.98615e-06 0.24 0.05 0.2
16384 1.27751e-07 5.75095e-07 3.59975e-07 0.48 0.1 0.39
32768 4.47836e-08 8.69569e-07 7.84885e-07 0.96 0.19 0.78
65536 8.00495e-09 5.58573e-08 4.3742e-08 1.93 0.37 1.57
131072 2.89508e-09 2.40248e-08 2.24494e-08 3.86 0.75 3.14
262144 5.63092e-10 4.09377e-09 2.79841e-09 7.73 1.5 6.23
